student_id,name,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,final_grade
S001,Aadhya Sharma,MS,F,16,U,GT3,T,2,0,health,at_home,other,father,4,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,1,3,2,5,11,11,12
S002,Tarun Kapoor,MS,M,16,U,GT3,A,3,3,teacher,health,course,mother,2,4,1,no,no,no,yes,yes,no,yes,yes,2,2,2,4,4,2,6,13,14,15
S003,Tanvi Pandey,MS,F,17,U,GT3,A,0,2,teacher,health,other,mother,3,3,0,yes,no,yes,yes,no,yes,yes,no,5,1,1,2,2,3,0,12,10,9
S004,Ishaan Chopra,MS,M,18,U,GT3,T,4,1,services,other,other,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,2,5,4,2,4,3,0,11,9,8
S005,Yash Bhatia,GP,M,19,U,LE3,T,1,2,teacher,health,reputation,other,4,3,1,no,yes,yes,yes,no,no,no,no,4,1,1,1,3,3,18,4,3,3
S006,Dhruv Pandey,MS,M,17,U,LE3,T,3,1,at_home,teacher,home,mother,1,1,3,yes,yes,no,no,no,yes,no,yes,2,4,1,5,3,4,14,14,16,14
S007,Ritika Desai,GP,F,15,U,LE3,T,4,4,at_home,services,home,mother,4,3,0,yes,yes,yes,yes,yes,no,yes,yes,5,5,1,5,1,4,14,16,18,17
S008,Swati Sinha,MS,F,17,U,LE3,T,3,1,services,teacher,course,mother,1,4,0,yes,yes,yes,no,yes,no,yes,yes,4,3,2,4,4,4,13,20,20,20
S009,Riya Verma,MS,F,15,U,GT3,A,0,4,health,services,course,other,2,3,0,no,no,no,yes,yes,no,no,yes,1,3,1,2,1,4,10,18,20,19
S010,Mohit Reddy,GP,M,17,U,GT3,T,4,4,health,teacher,reputation,mother,3,3,2,yes,no,yes,yes,yes,no,no,yes,3,2,2,3,1,2,18,12,13,14
S011,Pranav Nair,MS,M,15,U,GT3,A,3,1,health,teacher,course,father,2,2,0,yes,no,no,no,yes,no,no,no,5,3,1,2,3,1,23,8,6,8
S012,Sneha Gupta,MS,F,19,R,LE3,A,4,0,teacher,other,reputation,father,1,4,0,yes,no,no,yes,no,no,yes,no,5,3,4,3,4,4,9,7,8,9
S013,Tanya Iyer,GP,F,17,R,LE3,T,2,1,teacher,other,course,father,4,4,0,no,yes,yes,no,no,yes,yes,no,2,2,2,1,1,3,12,18,16,17
S014,Ishita Agarwal,MS,F,18,U,LE3,A,1,1,at_home,at_home,other,mother,2,4,0,yes,yes,no,yes,no,no,no,no,5,4,2,4,3,4,20,12,12,11
S015,Omkar Patil,MS,M,15,U,LE3,A,2,1,services,services,course,other,1,3,0,no,yes,yes,yes,no,no,no,no,4,1,2,3,3,5,17,9,11,13
S016,Nidhi Choudhary,MS,F,18,U,LE3,A,3,4,other,other,reputation,father,2,4,0,yes,no,no,no,yes,no,yes,yes,4,5,5,1,1,5,0,13,11,11
S017,Rohan Gupta,MS,M,17,R,GT3,A,2,3,services,teacher,course,mother,4,2,0,yes,no,yes,yes,yes,yes,yes,yes,1,5,1,1,2,5,19,7,6,4
S018,Kunal Desai,MS,M,16,R,GT3,T,2,0,other,at_home,course,other,4,4,1,yes,yes,yes,yes,no,yes,yes,no,5,4,2,1,4,3,0,15,16,16
S019,Kriti Mishra,MS,F,18,R,LE3,T,1,4,services,other,other,father,4,3,0,yes,yes,no,no,yes,no,no,no,1,4,3,1,4,2,3,18,18,19
S020,Karan Mehta,MS,M,16,U,GT3,T,3,3,other,health,other,other,4,4,0,yes,no,yes,no,yes,no,no,no,5,5,3,3,4,3,7,17,17,19
S021,Neel Ghosh,MS,M,17,U,GT3,T,0,4,health,health,reputation,other,4,3,1,no,yes,yes,no,yes,no,yes,no,1,5,3,4,2,1,21,12,11,11
